ItemId,title,price,categories1,categories2,categories3,minYear,maxYear
1,"Vallejo Buff Paint, 17ml",6.79,"Arts, Crafts & Sewing",Model & Hobby Building,"Accessories, Hardware & Tools",14,14
7,Application Panda With Gun Patch,6.99,"Arts, Crafts & Sewing",Sewing,Trim & Embellishments,4,15
14,UJ Ramelson Co Old Forge Whittlin Fun 3pc Woodcarving Kit with Carry Case (1 Set),29.97,"Arts, Crafts & Sewing",Crafting,Woodcrafts,14,9999
53,Bolt Action Type 97 Chi-Ha Japanese Medium Tank 1:56 WWII Military Wargaming Plastic Model Kit,27.32,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,14,9999
62,United States Army Aviation AH-64 Apache Helicopter Challenge Coin,16.99,Collectibles & Fine Art,Collectible Coins,Individual Coins,1,9999
87,Rocketarium Flying Model Rocket Kit Jay Hawk RK-1009,44.95,"Arts, Crafts & Sewing",Model & Hobby Building,Rockets,14,9999
89,1:150 Scale N Gauge Model Painted Figure for Street Building Train Layout (Pack of 100),15.99,"Arts, Crafts & Sewing",Model & Hobby Building,Model Trains & Accessories,16,9999
105,Tamiya 60318 1/32 Mitsubishi A6M5 Zero Fighter Plastic Model Airplane Kit,94.99,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,16,16
135,"Bandai Hobby HG 1/60M-9 Gernsback (Ver. IV) ""Full Metal Panic! Invisible Victory""",59.99,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,13,9999
138,HO Scale Custom Graffiti Decals 8.5 x 11 MEGA Sheet #4,18.99,"Arts, Crafts & Sewing",Model & Hobby Building,Model Trains & Accessories,6,9999
141,Woodland Scenics A1897 HO Beekeepers,16.05,"Arts, Crafts & Sewing",Model & Hobby Building,Model Trains & Accessories,8,9999
152,M & J/MiJo Exclusives Motormax 79137MTGRN Toyota FJ40 Land Cruiser Matt Green 4x4 Overlanders Series 1/24 Diecast Model Car,24.99,"Arts, Crafts & Sewing",Model & Hobby Building,Pre-Built & Diecast Models,1,8
181,"Walthers, Inc. Plowed Field, 8-5/8 X 7-7/8"" 22 x 20cm",22.48,"Arts, Crafts & Sewing",Model & Hobby Building,Model Trains & Accessories,14,9999
204,GD02 50pcs HO Code 100 Nickel Silver Metal Track Rail Joiners HO OO Scale NEW,19.99,"Arts, Crafts & Sewing",Model & Hobby Building,Model Trains & Accessories,14,9999
212,"KiNSMART Ford Crown Victoria 5"" 1:42 Scale Police Interceptor Car w/Pullback Action",7.35,"Arts, Crafts & Sewing",Model & Hobby Building,Pre-Built & Diecast Models,3,9999
216,"Art 1Art 101 Deluxe Art Set with 215 Pieces in a Wood Organizer Case, Includes Crayons, Color Pencils, Paints, Brushes and Markers, Great for All Skill Levels, Portable Art Studio",45.68,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies",Drawing,8,9999
224,"Airfix Fairey Swordfish MK I 1:72 WWII Military Aviation Plastic Model Kit A04053B, Small",32.99,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,14,9999
255,Iwata-Medea Deluxe Airbrush Set,449.93,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies",Painting,8,9999
266,"Die Cast Promotions (DCP) 1/64 Black, White & Blue Peterbilt 379 36"" Flat Top Sleeper with Walker Milk Tank Trailer 60-1220",189.0,"Arts, Crafts & Sewing",Model & Hobby Building,Pre-Built & Diecast Models,14,9999
316,1974 U.S. Eisenhower Dollar,9.89,Collectibles & Fine Art,Collectible Coins,Individual Coins,6,9999
319,The Noble Collection Harry Potter - Hufflepuff Wax Seal,35.0,"Arts, Crafts & Sewing",Crafting,Craft Supplies,1,14
321,"Horizon Group USA Pre-Printed Canvas & Paint Art Set, 3-Pack 5x7 Canvas Panels, 12 Tempera Paints, 6 Easy-Grip Assorted Paintbrushes for Paint Projects, Dog, Cat, Glitter Narwhal",8.86,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies",Boards & Canvas,6,9999
344,HANGHANG 1/72 Messerschmitt Me 262A Fighter Attack Plane Diecast Military Models Metal Airplane Models for Collection or Gift,42.99,"Arts, Crafts & Sewing",Model & Hobby Building,Pre-Built & Diecast Models,1,9999
347,Guillow's Piper Super Cub 95 Laser Cut Model Kit Blue,28.99,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,14,15
366,BLOODY ATOLL JAPANESE IMPERIAL MARINES TARAWA NOVEMBER 1943 1/35 MASTER BOX 3542,20.99,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,12,9999
384,Tara Toys Monster High Latch Hook Playset,23.0,"Arts, Crafts & Sewing",Needlework,Latch Hook,6,15
405,Academy 1/35 M2A2 Bradley Iraq 2003 Tank Plastic Model Kit #13205,44.97,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,14,9999
408,"Italeri 6115 Pax Romana Battle Set, Scale: 1:72",60.19,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,14,9999
415,Privateer Press - Hordes - Trollblood: Troll Whelps Model Kit,15.89,"Arts, Crafts & Sewing",Model & Hobby Building,Model Kits,12,9999
421,Great Planes Epoxy Mixing Sticks (50-Piece),5.97,"Arts, Crafts & Sewing",Crafting,Craft Supplies,15,9999
